,abbr_name,team,full_name
358,N. Noel,NYK,Nerlens Noel
359,J. Nowell,MIN,Jaylen Nowell
360,F. Ntilikina,NYK,Frank Ntilikina
361,K. Nunn,MIA,Kendrick Nunn
362,J. Nurkic,POR,Jusuf Nurkic
363,D. Nwaba,HOU,David Nwaba
365,J. Nwora,MIL,Jordan Nwora
366,R. O'Neale,UTA,Royce O'Neale
367,S. Ojeleye,BOS,Semi Ojeleye
368,J. Okafor,DET,Jahlil Okafor
369,C. Okeke,ORL,Chuma Okeke
370,J. Okogie,MIN,Josh Okogie
371,O. Okongwu,ATL,Onyeka Okongwu
372,I. Okoro,CLE,Isaac Okoro
373,K. Okpala,MIA,KZ Okpala
374,V. Oladipo,TOT,Victor Oladipo
375,V. Oladipo,IND,Victor Oladipo
376,V. Oladipo,HOU,Victor Oladipo
377,K. Olynyk,MIA,Kelly Olynyk
378,M. Oni,UTA,Miye Oni
379,C. Osman,CLE,Cedi Osman
380,D. Oturu,LAC,Daniel Oturu
381,K. Oubre,GSW,Kelly Oubre Jr.
382,J. Parker,SAC,Jabari Parker
383,E. Paschall,GSW,Eric Paschall
384,A. Pasecniks,WAS,Anzejs Pasecniks
385,P. Patterson,LAC,Patrick Patterson
386,J. Patton,HOU,Justin Patton
388,C. Paul,PHO,Chris Paul
389,C. Payne,PHO,Cameron Payne
390,E. Payton,NYK,Elfrid Payton
391,N. Pelle,TOT,Norvel Pelle
392,N. Pelle,BRK,Norvel Pelle
393,N. Pelle,SAC,Norvel Pelle
394,R. Perry,BRK,Reggie Perry
395,T. Pinson,NYK,Theo Pinson
396,M. Plumlee,DET,Mason Plumlee
397,J. Poeltl,SAS,Jakob Poeltl
398,V. Poirier,PHI,Vincent Poirier
399,A. Pokusevski,OKC,Aleksej Pokusevski
400,J. Poole,GSW,Jordan Poole
401,M. Porter,DEN,Michael Porter Jr.
402,O. Porter,CHI,Otto Porter
403,B. Portis,MIL,Bobby Portis
404,K. Porzingis,DAL,Kristaps Porzingis
405,D. Powell,DAL,Dwight Powell
406,N. Powell,TOR,Norman Powell
407,T. Prince,TOT,Taurean Prince
408,T. Prince,BRK,Taurean Prince
409,T. Prince,CLE,Taurean Prince
410,P. Pritchard,BOS,Payton Pritchard
411,I. Quickley,NYK,Immanuel Quickley
413,J. Ramsey,SAC,Jahmi'us Ramsey
414,C. Randle,ORL,Chasson Randle
415,J. Randle,NYK,Julius Randle
416,C. Reddish,ATL,Cam Reddish
417,J. Redick,NOP,J.J. Redick
418,P. Reed,PHI,Paul Reed
419,N. Reid,MIN,Naz Reid
420,N. Richards,CHO,Nick Richards
421,J. Richardson,DAL,Josh Richardson
422,A. Rivers,NYK,Austin Rivers
423,A. Roberson,BRK,Andre Roberson
424,D. Robinson,MIA,Duncan Robinson
425,G. Robinson,SAC,Glenn Robinson III
426,J. Robinson,WAS,Jerome Robinson
427,M. Robinson,NYK,Mitchell Robinson
428,I. Roby,OKC,Isaiah Roby
429,R. Rondo,ATL,Rajon Rondo
430,D. Rose,TOT,Derrick Rose
431,D. Rose,DET,Derrick Rose
432,D. Rose,NYK,Derrick Rose
433,T. Ross,ORL,Terrence Ross
434,T. Rozier,CHO,Terry Rozier
436,R. Rubio,MIN,Ricky Rubio
437,D. Russell,MIN,D'Angelo Russell
438,D. Sabonis,IND,Domantas Sabonis
439,L. Samanic,SAS,Luka Samanic
